 i  j inwind              x              z         v_x         v_y          v_z      rho     t_r
 3  7      1   4330000000.0   3520000000.0   3820000.0 129000000.0    9810000.0 7.25e-12 47200.0
 3  8      1   4330000000.0   4600000000.0   5220000.0 124000000.0   14900000.0 3.98e-12 48200.0
 3  9      1   4330000000.0   6020000000.0   7150000.0 117000000.0   22900000.0 2.19e-12 48500.0
 3 10     -1   4330000000.0   7880000000.0   9720000.0 110000000.0   35600000.0      0.0     0.0
 3 11     -1   4330000000.0  10300000000.0  13100000.0 102000000.0   55700000.0      0.0     0.0
 3 12     -1   4330000000.0  13500000000.0  17300000.0  94300000.0   87400000.0      0.0     0.0
 3 13     -1   4330000000.0  17700000000.0  22600000.0  86200000.0  137000000.0      0.0     0.0
 3 14     -1   4330000000.0  23100000000.0  28900000.0  78200000.0  213000000.0      0.0     0.0
 3 15     -1   4330000000.0  30300000000.0  36000000.0  70500000.0  328000000.0      0.0     0.0
 3 16     -1   4330000000.0  39600000000.0  43300000.0  63200000.0  493000000.0      0.0     0.0
 3 17     -1   4330000000.0  51800000000.0  44900000.0  56300000.0  643000000.0      0.0     0.0
 3 18     -1   4330000000.0  67800000000.0  44400000.0  50000000.0  807000000.0      0.0     0.0
 3 19     -1   4330000000.0  88800000000.0  41800000.0  44200000.0  972000000.0      0.0     0.0
 3 20     -1   4330000000.0 116000000000.0  37700000.0  39000000.0 1130000000.0      0.0     0.0
 3 21     -1   4330000000.0 152000000000.0  32700000.0  34400000.0 1260000000.0      0.0     0.0
 3 22     -1   4330000000.0 199000000000.0  27400000.0  30200000.0 1370000000.0      0.0     0.0
 3 23     -1   4330000000.0 260000000000.0  22400000.0  26500000.0 1450000000.0      0.0     0.0
 3 24     -1   4330000000.0 341000000000.0  18000000.0  23300000.0 1510000000.0      0.0     0.0
 3 25     -1   4330000000.0 446000000000.0  14200000.0  20400000.0 1560000000.0      0.0     0.0
 3 26     -1   4330000000.0 584000000000.0  11100000.0  17900000.0 1590000000.0      0.0     0.0
 3 27     -1   4330000000.0 764000000000.0   8640000.0  15600000.0 1610000000.0      0.0     0.0
 3 28     -1   4330000000.0          1e+12   6680000.0  13700000.0 1620000000.0      0.0     0.0
 3 29     -1   4330000000.0       1.31e+12   5140000.0  12000000.0 1630000000.0      0.0     0.0
 4  0      0   5380000000.0            0.0    392000.0 140000000.0     455000.0 2.21e-10 22400.0
 4  1      0   5380000000.0    700000000.0    875000.0 134000000.0    1180000.0 1.02e-10 23500.0
 4  2      0   5380000000.0    916000000.0   1100000.0 132000000.0    1540000.0 7.27e-11 25100.0
 4  3      0   5380000000.0   1200000000.0   1420000.0 129000000.0    2080000.0 4.94e-11 27900.0
 4  4      0   5380000000.0   1570000000.0   1860000.0 127000000.0    2910000.0 3.22e-11 32300.0
 4  5      0   5380000000.0   2050000000.0   2490000.0 123000000.0    4170000.0 2.02e-11 36900.0
 4  6      0   5380000000.0   2690000000.0   3360000.0 120000000.0    6090000.0 1.22e-11 40600.0
 4  7      0   5380000000.0   3520000000.0   4540000.0 115000000.0    9070000.0 7.05e-12 43400.0
 4  8      0   5380000000.0   4600000000.0   6130000.0 110000000.0   13700000.0 3.93e-12 45300.0
