#This is fluorescent yield data from Kaastra & Mewe (1993) -1993A&AS...97..443K
#It is processed from data downloaded from http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/A+AS/97/443
#Via the python script kaastra_2_py.py
#
#Label z state n l photon_energy yield
Kphotyield 14 2 1 0 9.950e+01 1.900e-03
Kphotyield 14 2 1 0 1.029e+02 5.542e-01
Kphotyield 14 2 1 0 1.217e+02 1.810e-02
Kphotyield 14 2 1 0 6.600e+00 2.000e-04
Kphotyield 14 2 1 0 1.720e+01 2.290e-02
Kphotyield 14 2 1 0 2.880e+01 2.219e-01
Kphotyield 14 3 2 1 1.001e+02 8.100e-03
Kphotyield 14 3 2 1 9.950e+01 8.100e-03
Kphotyield 14 3 2 0 5.000e+01 1.000e-04
Kphotyield 14 3 2 0 1.035e+02 3.381e-01
Kphotyield 14 3 2 0 1.029e+02 6.499e-01
Kphotyield 14 3 1 0 1.767e+03 1.450e-02
Kphotyield 14 3 1 0 1.768e+03 2.900e-02
Kphotyield 14 3 1 0 4.940e+01 3.600e-03
Kphotyield 14 3 1 0 4.980e+01 1.320e-02
Kphotyield 14 3 1 0 5.000e+01 7.200e-03
Kphotyield 14 3 1 0 5.040e+01 2.640e-02
Kphotyield 14 3 1 0 1.001e+02 1.000e-04
Kphotyield 14 3 1 0 1.035e+02 1.280e-02
Kphotyield 14 3 1 0 9.950e+01 2.000e-04
Kphotyield 14 3 1 0 1.029e+02 2.560e-02
Kphotyield 14 4 1 0 1.782e+03 1.470e-02
Kphotyield 14 4 1 0 1.782e+03 2.950e-02
Kphotyield 14 4 1 0 4.980e+01 1.251e-01
Kphotyield 14 4 1 0 5.040e+01 2.502e-01
Kphotyield 14 4 1 0 1.035e+02 1.470e-02
Kphotyield 14 4 1 0 1.223e+02 3.137e-01
Kphotyield 14 4 1 0 1.029e+02 2.950e-02
Kphotyield 14 4 1 0 1.217e+02 6.275e-01
Kphotyield 14 5 1 0 1.791e+03 1.500e-02
Kphotyield 14 5 1 0 1.792e+03 2.990e-02
Kphotyield 14 5 1 0 4.500e+01 1.254e-01
Kphotyield 14 5 1 0 4.500e+01 2.508e-01
Kphotyield 14 6 1 0 1.804e+03 2.030e-02
Kphotyield 14 6 1 0 1.804e+03 3.040e-02
Kphotyield 14 6 1 0 3.870e+01 1.776e-01
Kphotyield 14 6 1 0 3.870e+01 2.664e-01
Kphotyield 14 7 1 0 1.813e+03 2.930e-02
Kphotyield 14 7 1 0 1.813e+03 2.930e-02
Kphotyield 14 7 1 0 1.820e+01 2.723e-01
Kphotyield 14 7 1 0 1.820e+01 2.723e-01
Kphotyield 14 8 1 0 1.806e+03 4.660e-02
Kphotyield 14 8 1 0 1.806e+03 2.330e-02
Kphotyield 14 8 1 0 1.970e+01 4.754e-01
Kphotyield 14 8 1 0 6.770e+01 2.377e-01
Kphotyield 14 9 1 0 1.809e+03 8.900e-02
Kphotyield 14 9 1 0 2.110e+01 1.069e+00
Kphotyield 14 10 1 0 1.808e+03 7.680e-02
Kphotyield 14 10 1 0 7.470e+01 4.182e-01
Kphotyield 15 1 2 1 1.188e+02 2.000e-04
Kphotyield 15 1 2 1 5.700e+00 2.000e-04
Kphotyield 15 1 2 1 7.100e+00 2.272e-01
Kphotyield 15 1 2 1 5.700e+00 1.000e-04
Kphotyield 15 1 2 1 1.630e+01 2.056e-01
Kphotyield 15 1 2 1 1.178e+02 8.000e-04
Kphotyield 15 1 2 1 5.700e+00 6.000e-04
Kphotyield 15 1 2 1 7.100e+00 4.749e-01
Kphotyield 15 1 2 1 5.700e+00 3.000e-04
Kphotyield 15 1 2 1 1.630e+01 7.500e-02
Kphotyield 15 1 2 0 1.241e+02 1.000e-04
Kphotyield 15 1 2 0 1.232e+02 8.000e-04
Kphotyield 15 1 2 0 7.100e+00 2.590e-02
Kphotyield 15 1 2 0 8.400e+00 8.689e-01
Kphotyield 15 1 2 0 1.630e+01 1.280e-02
Kphotyield 15 1 2 0 2.810e+01 2.469e-01
Kphotyield 15 1 1 0 2.013e+03 1.920e-02
Kphotyield 15 1 1 0 2.014e+03 3.850e-02
Kphotyield 15 1 1 0 2.138e+03 1.500e-03
Kphotyield 15 1 1 0 2.138e+03 8.000e-04
Kphotyield 15 1 1 0 1.241e+02 1.000e-04
Kphotyield 15 1 1 0 1.283e+02 1.000e-04
Kphotyield 15 1 1 0 1.324e+02 4.000e-04
Kphotyield 15 1 1 0 1.359e+02 7.800e-03
Kphotyield 15 1 1 0 1.232e+02 3.000e-04
Kphotyield 15 1 1 0 1.274e+02 2.600e-03
Kphotyield 15 1 1 0 1.315e+02 3.100e-03
Kphotyield 15 1 1 0 1.350e+02 2.760e-02
Kphotyield 15 1 1 0 7.100e+00 2.420e-02
Kphotyield 15 1 1 0 8.400e+00 5.760e-02
Kphotyield 15 1 1 0 2.130e+01 2.750e-01
Kphotyield 15 1 1 0 3.480e+01 1.580e-02
Kphotyield 15 1 1 0 1.630e+01 7.600e-03
Kphotyield 15 1 1 0 2.810e+01 1.150e-02
Kphotyield 15 1 1 0 4.100e+01 3.580e-02
Kphotyield 15 1 1 0 5.450e+01 6.600e-03
Kphotyield 15 2 2 1 1.241e+02 3.000e-04
Kphotyield 15 2 2 1 7.100e+00 3.000e-04
Kphotyield 15 2 2 1 8.400e+00 5.976e-01
Kphotyield 15 2 2 1 1.232e+02 5.600e-03
Kphotyield 15 2 2 1 7.100e+00 5.600e-03
Kphotyield 15 2 2 1 8.400e+00 1.363e+00
Kphotyield 15 2 2 0 5.700e+01 1.000e-04
Kphotyield 15 2 2 0 1.283e+02 2.000e-04
Kphotyield 15 2 2 0 1.274e+02 5.300e-03
Kphotyield 15 2 2 0 8.400e+00 4.520e-02
Kphotyield 15 2 2 0 2.130e+01 4.463e-01
Kphotyield 15 2 1 0 2.027e+03 1.960e-02
Kphotyield 15 2 1 0 2.028e+03 3.920e-02
Kphotyield 15 2 1 0 2.158e+03 1.600e-03
Kphotyield 15 2 1 0 5.410e+01 1.000e-04
Kphotyield 15 2 1 0 5.500e+01 2.000e-04
Kphotyield 15 2 1 0 1.283e+02 1.000e-04
Kphotyield 15 2 1 0 1.324e+02 2.000e-04
Kphotyield 15 2 1 0 1.359e+02 2.760e-02
Kphotyield 15 2 1 0 1.232e+02 2.000e-04
Kphotyield 15 2 1 0 1.274e+02 1.700e-03
Kphotyield 15 2 1 0 1.315e+02 1.130e-02
Kphotyield 15 2 1 0 1.350e+02 2.129e-01
Kphotyield 15 2 1 0 7.100e+00 2.000e-04
Kphotyield 15 2 1 0 8.400e+00 6.770e-02
Kphotyield 15 2 1 0 2.130e+01 4.310e-02
Kphotyield 15 2 1 0 3.480e+01 1.006e-01
Kphotyield 15 3 2 1 1.283e+02 1.100e-03
Kphotyield 15 3 2 1 8.400e+00 1.100e-03
Kphotyield 15 3 2 1 2.130e+01 1.029e-01
Kphotyield 15 3 2 1 1.274e+02 8.200e-03
Kphotyield 15 3 2 1 8.400e+00 8.200e-03
Kphotyield 15 3 2 1 2.130e+01 7.515e-01
Kphotyield 15 3 2 0 5.700e+01 1.000e-04
Kphotyield 15 3 2 0 1.324e+02 1.100e-03
Kphotyield 15 3 2 0 1.315e+02 1.920e-02
Kphotyield 15 3 2 0 2.130e+01 3.120e-02
Kphotyield 15 3 1 0 2.041e+03 2.000e-02
Kphotyield 15 3 1 0 2.042e+03 4.000e-02
Kphotyield 15 3 1 0 2.178e+03 8.000e-04
Kphotyield 15 3 1 0 5.510e+01 1.000e-04
Kphotyield 15 3 1 0 5.410e+01 1.200e-03
Kphotyield 15 3 1 0 5.540e+01 9.000e-04
Kphotyield 15 3 1 0 5.600e+01 1.000e-04
Kphotyield 15 3 1 0 5.500e+01 2.500e-03
Kphotyield 15 3 1 0 5.630e+01 1.900e-03
Kphotyield 15 3 1 0 2.088e+02 1.000e-04
Kphotyield 15 3 1 0 1.324e+02 4.000e-04
Kphotyield 15 3 1 0 1.359e+02 8.220e-02
Kphotyield 15 3 1 0 1.274e+02 3.000e-04
Kphotyield 15 3 1 0 1.315e+02 2.800e-03
Kphotyield 15 3 1 0 1.350e+02 5.723e-01
Kphotyield 15 3 1 0 8.400e+00 3.000e-04
Kphotyield 15 3 1 0 2.130e+01 3.340e-02
Kphotyield 15 3 1 0 3.480e+01 2.507e-01
Kphotyield 15 4 2 1 1.324e+02 1.080e-02
Kphotyield 15 4 2 1 1.315e+02 1.080e-02
Kphotyield 15 4 2 0 5.510e+01 2.800e-03
Kphotyield 15 4 2 0 5.600e+01 5.500e-03
Kphotyield 15 4 2 0 1.315e+02 1.000e-04
Kphotyield 15 4 1 0 2.054e+03 2.040e-02
Kphotyield 15 4 1 0 2.055e+03 4.080e-02
Kphotyield 15 4 1 0 5.410e+01 4.200e-03
Kphotyield 15 4 1 0 5.540e+01 2.040e-02
Kphotyield 15 4 1 0 5.500e+01 8.400e-03
Kphotyield 15 4 1 0 5.630e+01 4.070e-02
Kphotyield 15 4 1 0 1.324e+02 2.000e-04
Kphotyield 15 4 1 0 1.359e+02 1.580e-02
Kphotyield 15 4 1 0 1.315e+02 4.000e-04
Kphotyield 15 4 1 0 1.350e+02 3.170e-02
Kphotyield 15 5 1 0 2.068e+03 2.080e-02
Kphotyield 15 5 1 0 2.069e+03 4.160e-02
Kphotyield 15 5 1 0 5.540e+01 1.154e-01
Kphotyield 15 5 1 0 5.630e+01 2.309e-01
Kphotyield 15 5 1 0 1.359e+02 2.080e-02
Kphotyield 15 5 1 0 1.564e+02 3.068e-01
Kphotyield 15 5 1 0 1.350e+02 4.160e-02
Kphotyield 15 5 1 0 1.555e+02 6.136e-01
Kphotyield 15 6 1 0 2.079e+03 2.110e-02
Kphotyield 15 6 1 0 2.080e+03 4.230e-02
Kphotyield 15 6 1 0 5.000e+01 1.157e-01
Kphotyield 15 6 1 0 5.000e+01 2.313e-01
Kphotyield 15 7 1 0 2.091e+03 2.880e-02
Kphotyield 15 7 1 0 2.091e+03 4.310e-02
Kphotyield 15 7 1 0 4.290e+01 1.648e-01
Kphotyield 15 7 1 0 4.290e+01 2.472e-01
Kphotyield 15 8 1 0 2.099e+03 4.160e-02
Kphotyield 15 8 1 0 2.099e+03 4.160e-02
Kphotyield 15 8 1 0 2.000e+01 2.549e-01
Kphotyield 15 8 1 0 2.000e+01 2.549e-01
Kphotyield 15 9 1 0 2.090e+03 6.650e-02
Kphotyield 15 9 1 0 2.090e+03 3.330e-02
Kphotyield 15 9 1 0 2.150e+01 4.506e-01
Kphotyield 15 9 1 0 7.420e+01 2.253e-01
Kphotyield 15 10 1 0 2.093e+03 1.279e-01
Kphotyield 15 10 1 0 2.290e+01 1.032e+00
Kphotyield 15 11 1 0 2.092e+03 1.102e-01
Kphotyield 15 11 1 0 8.100e+01 4.301e-01
Kphotyield 16 1 2 1 1.490e+02 3.000e-04
Kphotyield 16 1 2 1 9.800e+00 1.000e-04
Kphotyield 16 1 2 1 7.300e+00 1.224e-01
Kphotyield 16 1 2 1 9.800e+00 1.000e-04
Kphotyield 16 1 2 1 7.300e+00 2.161e-01
Kphotyield 16 1 2 1 1.478e+02 5.000e-04
Kphotyield 16 1 2 1 9.800e+00 2.000e-04
Kphotyield 16 1 2 1 7.300e+00 2.365e-01
Kphotyield 16 1 2 1 9.800e+00 2.000e-04
Kphotyield 16 1 2 1 7.300e+00 1.456e-01
Kphotyield 16 1 2 0 2.216e+02 1.000e-04
Kphotyield 16 1 2 0 2.216e+02 1.000e-04
Kphotyield 16 1 2 0 1.556e+02 1.000e-04
Kphotyield 16 1 2 0 1.543e+02 4.000e-04
Kphotyield 16 1 2 0 7.300e+00 2.020e-02
Kphotyield 16 1 2 0 8.800e+00 4.814e-01
Kphotyield 16 1 2 0 7.300e+00 2.010e-02
Kphotyield 16 1 2 0 2.040e+01 3.947e-01
Kphotyield 16 1 1 0 2.307e+03 2.580e-02
Kphotyield 16 1 1 0 2.308e+03 5.160e-02
Kphotyield 16 1 1 0 2.466e+03 2.300e-03
Kphotyield 16 1 1 0 2.466e+03 2.300e-03
Kphotyield 16 1 1 0 1.556e+02 1.000e-04
Kphotyield 16 1 1 0 1.604e+02 1.000e-04
Kphotyield 16 1 1 0 1.647e+02 2.000e-04
Kphotyield 16 1 1 0 1.685e+02 1.000e-04
Kphotyield 16 1 1 0 1.543e+02 2.000e-04
Kphotyield 16 1 1 0 1.592e+02 8.000e-04
Kphotyield 16 1 1 0 1.634e+02 7.000e-04
Kphotyield 16 1 1 0 1.673e+02 4.000e-04
Kphotyield 16 1 1 0 7.300e+00 1.670e-02
Kphotyield 16 1 1 0 8.800e+00 3.230e-02
Kphotyield 16 1 1 0 1.030e+01 3.537e-01
Kphotyield 16 1 1 0 2.540e+01 8.180e-02
Kphotyield 16 1 1 0 7.300e+00 1.440e-02
Kphotyield 16 1 1 0 2.040e+01 2.500e-02
Kphotyield 16 1 1 0 3.420e+01 2.058e-01
Kphotyield 16 1 1 0 4.930e+01 4.390e-02
