# This is outer shell photoionization data from Verner et al (1996) 1996ApJ...465..487V (VFKY)
# supplemented by outer shell data from Verner and Yakovlev (1995) 	1995A&AS..109..125V (VY)
# The data is from VFKY up to the inner shell edge (if any) then from VY past this point
# It is processed via the python script verner_2_py.py from simple text dumps of the online
# data from these two papers
#
# The data is read in using the topbase mechanics, so level and level_label are just placholders
#Label z state islp(placeholder) level(placeholder) theshold_energy n_points
PhotVfkyS 1 1 -999 -999 1.360e+01 100
PhotVfky 2.1326e+03 2.7002e-23
PhotVfky 2.3031e+03 2.0854e-23
PhotVfky 2.4873e+03 1.6100e-23
PhotVfky 2.6863e+03 1.2424e-23
PhotVfky 2.9011e+03 9.5846e-24
PhotVfky 3.1332e+03 7.3913e-24
PhotVfky 3.3838e+03 5.6980e-24
PhotVfky 3.6544e+03 4.3911e-24
PhotVfky 3.9467e+03 3.3829e-24
PhotVfky 4.2624e+03 2.6054e-24
PhotVfky 4.6033e+03 2.0060e-24
PhotVfky 4.9714e+03 1.5441e-24
PhotVfky 5.3691e+03 1.1882e-24
PhotVfky 5.7985e+03 9.1405e-25
PhotVfky 6.2623e+03 7.0300e-25
PhotVfky 6.7631e+03 5.4055e-25
PhotVfky 7.3040e+03 4.1554e-25
PhotVfky 7.8882e+03 3.1936e-25
PhotVfky 8.5191e+03 2.4540e-25
PhotVfky 9.2005e+03 1.8852e-25
PhotVfky 9.9364e+03 1.4479e-25
PhotVfky 1.0731e+04 1.1119e-25
PhotVfky 1.1589e+04 8.5367e-26
PhotVfky 1.2516e+04 6.5529e-26
PhotVfky 1.3517e+04 5.0293e-26
PhotVfky 1.4599e+04 3.8592e-26
PhotVfky 1.5766e+04 2.9609e-26
PhotVfky 1.7027e+04 2.2713e-26
PhotVfky 1.8389e+04 1.7421e-26
PhotVfky 1.9860e+04 1.3360e-26
PhotVfky 2.1448e+04 1.0244e-26
PhotVfky 2.3164e+04 7.8534e-27
PhotVfky 2.5016e+04 6.0201e-27
PhotVfky 2.7017e+04 4.6141e-27
PhotVfky 2.9178e+04 3.5361e-27
PhotVfky 3.1512e+04 2.7096e-27
PhotVfky 3.4032e+04 2.0761e-27
PhotVfky 3.6754e+04 1.5905e-27
PhotVfky 3.9694e+04 1.2183e-27
PhotVfky 4.2868e+04 9.3318e-28
PhotVfky 4.6297e+04 7.1469e-28
PhotVfky 5.0000e+04 5.4731e-28
PhotVfkyS 2 2 -999 -999 5.442e+01 100
PhotVfky 5.4420e+01 1.5873e-18
