#This is data for change exchance from Kingdon and Ferland 1996
#http://articles.adsabs.harvard.edu/pdf/1996ApJS..106..205K
#The way is works is X^{+n}+Y^{+m} -> X^{+(n+1)}+Y^{+m-1}
#X is usually hydrogen - so in most cases hydrogen is ionized by
#the recombination of the ion Y
#The energy defect delta_E is from Kingdon and Ferland 1999
#Where no data exists for any of the first four ions, we set everything to zero as per cloudy.
#https://iopscience.iop.org/article/10.1086/312008/pdf
#NB - the He+ rate is multiplied by 4.0 from Li	CT	Stancil, P. C., & Zygelman, B. 1996, ApJ, 472, 102
Label	Elem_1	Istate_1	Elem_2	Istate_2	a	b	c	d	Tmin	Tmax	delta_E	delta_E_ovr_K	KF_ion	KF_level
ChEx	1	1	22	5	4.37E-03	1.25E+00	4.00E+01	-8.05E+00	1.01E+03	1.00E+05	5.30E+00	0.00E+00	Ti+4	Total
ChEx	1	1	23	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	V+1	nodata
ChEx	1	1	23	3	1.00E-05	0.00E+00	0.00E+00	0.00E+00	1.01E+03	1.00E+05	0.00E+00	0.00E+00	V+2	Total
ChEx	1	1	23	4	5.12E+00	-2.18E-02	-2.40E-01	-8.30E-01	1.01E+03	1.00E+05	4.70E+00	0.00E+00	V+3	Total
ChEx	1	1	23	5	1.96E-01	-8.53E-03	2.80E-01	-6.46E+00	1.02E+03	1.00E+05	6.20E+00	0.00E+00	V+4	Total
ChEx	1	1	24	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Cr+1	nodata
ChEx	1	1	24	3	5.27E-01	6.10E-01	-8.90E-01	-3.56E+00	1.02E+03	1.00E+05	2.89E+00	0.00E+00	Cr+2	3d5 a6S
ChEx	1	1	24	4	1.09E+01	2.40E-01	2.60E-01	-1.19E+01	1.02E+03	1.00E+05	5.40E+00	0.00E+00	Cr+3	Total
ChEx	1	1	24	5	1.18E+00	2.00E-01	7.70E-01	-7.09E+00	1.02E+03	1.00E+05	6.60E+00	0.00E+00	Cr+4	Total
ChEx	1	1	25	2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	Mn+1	nodata
ChEx	1	1	25	3	1.65E-01	6.80E-03	6.44E-02	-9.70E+00	1.02E+03	1.00E+05	2.04E+00	0.00E+00	Mn+2	3d5(6S)4s a7S
ChEx	1	1	25	4	1.42E+01	3.40E-01	-4.10E-01	-1.19E+00	1.02E+03	1.00E+05	6.00E+00	0.00E+00	Mn+3	Total
