SCT      0.000e+00  2.442e-02  5.881e-02  1.108e-01  1.985e-01  3.784e-01  5.421e-01  6.921e-01  8.309e-01  8.919e-01  9.276e-01  9.532e-01  9.641e-01  9.712e-01  1.000e+00
SCUPS    1.524e-01  1.627e-01  1.708e-01  1.931e-01  1.875e-01  1.265e-01  6.966e-02  3.172e-02  9.617e-03  3.779e-03  1.528e-03  5.301e-04  2.756e-04  1.677e-04  3.830e-06
CSTREN Line   8   2 432.346000  0.000001  4  4    0.000000  28.677218   1  37   1  37  2.155e+00  4.000e-06  3.139e-06  15   4  1.100e+00
SCT      0.000e+00  2.191e-02  5.295e-02  1.003e-01  1.816e-01  3.532e-01  5.158e-01  6.702e-01  8.179e-01  8.841e-01  9.231e-01  9.509e-01  9.627e-01  9.702e-01  1.000e+00
SCUPS    6.391e-01  5.921e-01  5.087e-01  4.078e-01  3.117e-01  1.975e-01  1.280e-01  7.993e-02  3.993e-02  2.323e-02  1.413e-02  8.339e-03  6.148e-03  4.839e-03  3.139e-06
CSTREN Line   8   2 432.245000  0.000002  4  6    0.000000  28.683913   1  38   1  38  2.155e+00  8.243e-06  1.530e-05  15   4  1.100e+00
SCT      0.000e+00  2.191e-02  5.295e-02  1.003e-01  1.816e-01  3.532e-01  5.158e-01  6.702e-01  8.179e-01  8.841e-01  9.231e-01  9.509e-01  9.627e-01  9.702e-01  1.000e+00
SCUPS    1.004e+00  9.287e-01  7.721e-01  6.107e-01  4.645e-01  2.938e-01  1.910e-01  1.190e-01  5.961e-02  3.466e-02  2.115e-02  1.251e-02  9.202e-03  7.243e-03  1.530e-05
CSTREN Line   8   2 429.716000  0.001220  4  2    0.000000  28.852718   1  43   1  43  2.168e+00  4.878e-03  9.000e-03  15   1  1.100e+00
SCT      0.000e+00  2.178e-02  5.265e-02  9.980e-02  1.807e-01  3.519e-01  5.144e-01  6.690e-01  8.172e-01  8.836e-01  9.228e-01  9.508e-01  9.626e-01  9.702e-01  1.000e+00
SCUPS    1.405e-02  1.389e-02  1.307e-02  1.275e-02  1.239e-02  1.175e-02  1.113e-02  1.062e-02  9.291e-03  8.103e-03  7.159e-03  6.660e-03  6.635e-03  6.776e-03  9.000e-03
