SCUPS    2.508e+00  1.813e+00  1.554e+00  2.489e+00  6.456e+00
CSTREN Line   2   1 5877.269000  0.456667  3  5   20.964224  23.073790   5  14   5  14  1.550e-01  1.370e+00  3.535e+01   5   1  2.300e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    1.769e-01  2.705e+00  9.294e+00  2.595e+01  3.535e+01
CSTREN Line   2   1 5877.254000  0.152000  3  3   20.964224  23.073795   5  15   5  15  1.550e-01  4.560e-01  1.177e+01   5   1  2.300e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    5.896e-02  9.012e-01  3.097e+00  8.646e+00  1.177e+01
CSTREN Line   2   1 4714.475000  0.011800  3  3   20.964224  23.594100   5  18   5  18  1.932e-01  3.540e-02  7.329e-01   5   1  2.500e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    4.743e-01  5.380e-01  4.816e-01  5.502e-01  7.328e-01
CSTREN Line   2   1 4472.744000  0.094000  3  5   20.964224  23.736233   5  24   5  24  2.037e-01  2.820e-01  5.538e+00   5   1  1.900e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    1.077e-01  8.635e-01  2.303e+00  4.228e+00  5.537e+00
CSTREN Line   2   1 4472.740000  0.031500  3  3   20.964224  23.736235   5  25   5  25  2.037e-01  9.450e-02  1.856e+00   5   1  1.900e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    3.593e-02  2.877e-01  7.668e-01  1.408e+00  1.855e+00
CSTREN Line   2   1 4121.986000  0.003633  3  3   20.964224  23.972115   5  32   5  32  2.210e-01  1.090e-02  1.973e-01   5   1  2.100e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    2.073e-01  1.337e-01  1.308e-01  1.670e-01  1.973e-01
CSTREN Line   2   1 4027.336000  0.035667  3  5   20.964224  24.042806   5  38   5  38  2.262e-01  1.070e-01  1.892e+00   5   1  2.500e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    2.724e-01  5.258e-01  1.069e+00  1.779e+00  1.892e+00
CSTREN Line   2   1 4027.334000  0.011900  3  3   20.964224  24.042808   5  39   5  39  2.262e-01  3.570e-02  6.313e-01   5   1  2.500e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
SCUPS    9.077e-02  1.752e-01  3.562e-01  5.928e-01  6.313e-01
CSTREN Line   2   1 7067.658000  0.069200  1  3   20.964346  22.718603   6   8   6   8  1.289e-01  6.920e-02  2.147e+00   5   1  1.600e+00
SCT      0.000e+00  2.500e-01  5.000e-01  7.500e-01  1.000e+00
