SCT      0.000e+00  7.435e-02  1.672e-01  2.865e-01  4.454e-01  6.676e-01  8.006e-01  8.893e-01  9.526e-01  9.757e-01  9.877e-01  9.950e-01  9.975e-01  9.988e-01  1.000e+00
SCUPS    5.637e-02  4.380e-02  2.810e-02  1.970e-02  1.520e-02  1.150e-02  8.680e-03  6.150e-03  3.600e-03  2.260e-03  1.340e-03  6.250e-04  3.350e-04  1.750e-04  0.000e+00
CSTREN Line   7   6 161.209700  0.109000  3  3  419.794185 496.703242   2  10   2  10  5.668e+00  3.270e-01  7.581e-02  15   1  1.184e+00
SCT      0.000e+00  3.850e-02  9.058e-02  1.650e-01  2.799e-01  4.813e-01  6.336e-01  7.541e-01  8.545e-01  8.975e-01  9.239e-01  9.447e-01  9.546e-01  9.616e-01  1.000e+00
SCUPS    8.395e-02  6.920e-02  4.924e-02  3.863e-02  3.265e-02  2.884e-02  2.768e-02  2.859e-02  3.282e-02  3.731e-02  4.183e-02  4.699e-02  5.053e-02  5.338e-02  7.581e-02
CSTREN Line   7   6 161.209700  0.181667  3  5  419.794185 496.703242   2  11   2  11  5.668e+00  5.450e-01  2.274e-01  15   1  1.200e+00
SCT      0.000e+00  3.545e-02  8.376e-02  1.535e-01  2.630e-01  4.601e-01  6.139e-01  7.383e-01  8.441e-01  8.899e-01  9.182e-01  9.405e-01  9.512e-01  9.587e-01  1.000e+00
SCUPS    2.503e-01  2.074e-01  1.489e-01  1.173e-01  9.814e-02  8.671e-02  8.313e-02  8.576e-02  9.847e-02  1.121e-01  1.254e-01  1.413e-01  1.513e-01  1.599e-01  2.274e-01
CSTREN Line   7   6 122.433500  0.008967  3  1  419.794185 521.061311   2  19   2  19  7.464e+00  2.690e-02  0.000e+00  15   4  1.058e+00
SCT      0.000e+00  9.336e-02  2.040e-01  3.373e-01  5.010e-01  7.069e-01  8.194e-01  8.907e-01  9.411e-01  9.604e-01  9.716e-01  9.800e-01  9.838e-01  9.865e-01  1.000e+00
SCUPS    3.646e-01  2.674e-01  1.522e-01  9.856e-02  5.914e-02  2.395e-02  1.066e-02  4.532e-03  1.453e-03  6.167e-04  2.640e-04  8.664e-05  3.765e-05  1.637e-05  0.000e+00
CSTREN Line   7   6 122.433500  0.026867  3  3  419.794185 521.061311   2  20   2  20  7.461e+00  8.060e-02  1.368e-02  15   1  1.193e+00
SCT      0.000e+00  2.811e-02  6.719e-02  1.252e-01  2.204e-01  4.055e-01  5.635e-01  7.007e-01  8.235e-01  8.779e-01  9.112e-01  9.369e-01  9.489e-01  9.572e-01  1.000e+00
SCUPS    1.833e-02  1.636e-02  1.362e-02  1.207e-02  1.086e-02  9.463e-03  8.784e-03  8.563e-03  8.921e-03  9.410e-03  9.871e-03  1.041e-02  1.073e-02  1.102e-02  1.368e-02
