i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
2 13 1.224818e+11 1.223043e+00 4.526963e+32 5.311056e+06 9.797218e+03 1.996261e+11 6.837877e-02 1.611156e-01 0.000000e+00 4.561120e-08 6.548141e-02 3.399817e-02 2.164065e-01 3.915690e-13 1.651580e+11
2 14 1.224818e+11 1.284320e+00 4.388034e+32 4.497550e+06 6.431307e+03 2.834026e+11 1.599851e-01 2.097765e-01 0.000000e+00 1.070568e-07 7.346665e-02 7.118115e-02 4.040895e-01 5.559013e-13 2.344709e+11
2 15 1.224818e+11 1.342533e+00 4.233170e+32 3.768332e+06 4.559148e+03 3.998882e+11 3.699019e-01 3.068885e-01 0.000000e+00 2.634373e-07 8.661448e-02 1.498927e-01 7.423253e-01 7.843960e-13 3.308465e+11
2 16 1.224818e+11 1.397835e+00 4.066985e+32 3.182434e+06 2.836908e+03 5.489116e+11 6.757881e-01 3.540348e-01 1.531178e-12 6.274563e-07 8.654743e-02 3.157893e-01 1.293811e+00 1.076725e-12 4.541465e+11
2 17 1.224818e+11 1.450372e+00 3.893812e+32 2.766795e+06 1.976114e+03 7.120561e+11 1.199884e+00 4.077526e-01 1.281126e-08 1.196654e-06 8.706255e-02 6.116446e-01 2.040476e+00 1.396757e-12 5.891312e+11
2 18 1.224818e+11 1.500282e+00 3.716925e+32 2.498479e+06 1.600778e+03 8.559998e+11 1.904216e+00 4.797676e-01 0.000000e+00 1.814914e-06 9.179430e-02 9.924736e-01 2.815117e+00 1.679126e-12 7.082303e+11
2 19 1.224818e+11 1.547697e+00 3.538802e+32 2.414086e+06 1.275462e+03 9.259066e+11 2.098476e+00 4.207054e-01 5.036578e-10 1.976700e-06 8.219359e-02 1.298511e+00 3.241342e+00 1.816268e-12 7.660747e+11
3 0 1.631697e+11 6.121442e-02 1.034465e+32 1.397102e+07 7.358118e+12 3.288175e+02 0.000000e+00 3.382689e-10 0.000000e+00 3.323254e-26 3.501828e-10 0.000000e+00 9.138167e-19 6.449711e-22 2.720392e+02
3 1 1.631697e+11 1.805825e-01 2.885337e+32 1.208287e+07 2.837830e+09 7.656229e+05 6.070241e-13 7.030722e-07 0.000000e+00 2.286689e-19 6.388319e-07 4.392312e-13 4.634734e-12 1.501759e-18 6.334195e+05
3 2 1.631697e+11 2.939822e-01 4.422612e+32 1.505176e+07 4.745003e+07 4.913161e+07 2.128649e-09 4.653551e-05 0.000000e+00 6.020905e-16 5.410172e-05 1.726366e-09 2.111241e-08 9.637100e-17 4.064785e+07
3 3 1.631697e+11 4.017120e-01 5.669531e+32 1.129697e+07 2.851452e+06 7.508499e+08 6.695082e-07 6.620912e-04 0.000000e+00 2.148019e-13 5.709991e-04 4.279384e-07 4.322149e-06 1.472782e-15 6.211975e+08
3 4 1.631697e+11 5.040552e-01 6.653485e+32 9.407006e+06 7.703166e+05 2.735245e+09 9.577122e-06 2.327007e-03 0.000000e+00 3.635973e-12 1.697523e-03 5.855595e-06 5.276083e-05 5.365147e-15 2.262939e+09
3 5 1.631697e+11 6.012813e-01 7.403660e+32 8.876170e+06 3.072608e+05 6.286505e+09 4.783481e-05 4.775228e-03 0.000000e+00 1.962161e-11 3.364231e-03 3.120806e-05 2.713941e-04 1.233090e-14 5.200990e+09
3 6 1.631697e+11 6.936460e-01 7.949423e+32 8.400791e+06 1.524850e+05 1.188153e+10 2.073595e-04 8.892568e-03 0.000000e+00 7.177603e-11 5.697784e-03 1.123818e-04 9.453490e-04 2.330548e-14 9.829904e+09
3 7 1.631697e+11 7.813926e-01 8.319109e+32 7.990118e+06 9.175952e+04 1.954204e+10 5.472107e-04 1.376535e-02 0.000000e+00 2.034458e-10 8.762429e-03 3.059438e-04 2.499327e-03 3.833150e-14 1.616765e+10
3 8 1.631697e+11 8.647518e-01 8.539300e+32 7.517371e+06 5.624931e+04 2.951712e+10 1.348183e-03 2.022801e-02 0.000000e+00 4.790429e-10 1.165483e-02 7.036856e-04 5.545035e-03 5.789755e-14 2.442032e+10
3 9 1.631697e+11 9.439430e-01 8.634338e+32 7.024592e+06 3.594672e+04 4.193929e+10 2.871064e-03 2.615259e-02 0.000000e+00 9.631395e-10 1.402667e-02 1.433461e-03 1.085200e-02 8.226362e-14 3.469757e+10
3 10 1.631697e+11 1.019175e+00 8.626130e+32 6.520878e+06 2.421492e+04 5.713511e+10 5.443318e-03 3.284640e-02 0.000000e+00 2.009584e-09 1.623014e-02 2.689323e-03 1.946543e-02 1.120703e-13 4.726958e+10
3 11 1.631697e+11 1.090645e+00 8.534277e+32 5.976545e+06 1.757502e+04 7.626978e+10 9.553729e-03 4.081460e-02 0.000000e+00 3.719147e-09 1.915515e-02 4.843443e-03 3.334586e-02 1.496033e-13 6.310044e+10
3 12 1.631697e+11 1.158541e+00 8.375506e+32 5.372447e+06 1.159296e+04 1.016579e+11 1.876085e-02 5.009769e-02 1.194520e-15 6.877011e-09 2.045431e-02 8.760362e-03 5.641999e-02 1.994028e-13 8.410512e+10
3 13 1.631697e+11 1.223043e+00 8.164588e+32 4.715972e+06 8.023462e+03 1.369540e+11 3.417173e-02 6.192737e-02 0.000000e+00 1.458211e-08 2.239703e-02 1.636110e-02 9.645078e-02 2.686379e-13 1.133075e+11
3 14 1.631697e+11 1.284320e+00 7.914023e+32 4.056786e+06 5.496950e+03 1.863335e+11 7.249239e-02 7.811490e-02 0.000000e+00 3.034443e-08 2.450606e-02 3.155728e-02 1.665873e-01 3.654992e-13 1.541621e+11
3 15 1.631697e+11 1.342533e+00 7.634719e+32 3.493751e+06 4.090756e+03 2.501996e+11 1.515734e-01 1.084364e-01 0.000000e+00 6.460999e-08 2.819438e-02 6.016007e-02 2.806719e-01 4.907773e-13 2.070025e+11
3 16 1.631697e+11 1.397835e+00 7.334996e+32 3.060694e+06 2.693898e+03 3.240502e+11 2.432969e-01 1.175475e-01 0.000000e+00 1.295494e-07 2.757498e-02 1.122768e-01 4.428621e-01 6.356460e-13 2.681060e+11
3 17 1.631697e+11 1.450372e+00 7.022671e+32 2.691495e+06 1.933150e+03 4.069687e+11 3.928515e-01 1.294095e-01 0.000000e+00 2.288694e-07 2.706923e-02 2.035849e-01 6.580597e-01 7.983038e-13 3.367126e+11
3 18 1.631697e+11 1.500282e+00 6.703647e+32 2.309883e+06 1.478559e+03 5.087200e+11 6.887255e-01 1.572430e-01 9.351663e-12 3.968131e-07 2.771955e-02 3.748157e-01 9.588429e-01 9.979069e-13 4.209022e+11
3 19 1.631697e+11 1.547697e+00 6.382394e+32 1.895614e+06 9.901647e+02 6.490671e+11 1.213302e+00 1.598716e-01 1.817518e-12 7.660302e-07 2.458818e-02 8.123258e-01 1.423283e+00 1.273235e-12 5.370315e+11
4 0 2.046713e+11 6.121442e-02 1.657212e+32 1.096156e+07 6.548744e+12 2.335369e+02 0.000000e+00 1.520064e-10 0.000000e+00 1.582076e-26 1.232816e-10 0.000000e+00 4.123837e-19 4.580795e-22 1.932111e+02
