IonV   Si  14   6   4  205.06000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Si  14   7   5  246.53000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Si  14   8   4  303.18000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Si  14   9   1  351.11000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Si  14  10   2  401.38000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Si  14  11   1  476.08000 1000   0     1s^22s^2(1S_0) 
IonV   Si  14  12   2  523.52000 1000   0     1s^22s(2S_{1/2}) 
IonV   Si  14  13   1 2437.74000 1000   0     1s^2(1S_0) 
IonV   Si  14  14   2 2673.20000 1000   0     1s(2S_{1/2}) 
IonV   Si  14  15   1 1.0000e+20   0   0     Bare 

IonV    P  15   1   4   10.49000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV    P  15   2   1   19.73000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV    P  15   3   2   30.20400 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV    P  15   4   1   51.44400 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV    P  15   5   2   65.02600 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV    P  15   6   1  220.43400 1000   0     1s^22s^22p^6(1S_0) 
IonV    P  15   7   4  263.23000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV    P  15   8   5  309.42000 1000   0     1s^22s^22p^4(3P_2) 
IonV    P  15   9   4  371.74000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV    P  15  10   1  424.51000 1000   0     1s^22s^22p^2(3P_0) 
IonV    P  15  11   2  479.59000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV    P  15  12   1  560.43000 1000   0     1s^22s^2(1S_0) 
IonV    P  15  13   2  611.90000 1000   0     1s^22s(2S_{1/2}) 
IonV    P  15  14   1 2817.02000 1000   0     1s^2(1S_0) 
IonV    P  15  15   2 3069.86000 1000   0     1s(2S_{1/2}) 
IonV    P  15  16   1 1.0000e+20   0   0     Bare 

IonV    S  16   1   5   10.36000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV    S  16   2   4   23.33000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV    S  16   3   1   34.83000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV    S  16   4   2   47.30500 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV    S  16   5   1   72.68000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV    S  16   6   2   88.05400 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV    S  16   7   1  280.94000 1000   0     1s^22s^22p^6(1S_0) 
IonV    S  16   8   4  328.24000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV    S  16   9   5  379.11000 1000   0     1s^22s^22p^4(3P_2) 
IonV    S  16  10   4  447.10000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV    S  16  11   1  504.79000 1000   0     1s^22s^22p^2(3P_0) 
IonV    S  16  12   2  564.67000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV    S  16  13   1  651.65000 1000   0     1s^22s^2(1S_0) 
IonV    S  16  14   2  707.16000 1000   0     1s^22s(2S_{1/2}) 
IonV    S  16  15   1 3223.92000 1000   0     1s^2(1S_0) 
IonV    S  16  16   2 3494.21000 1000   0     1s(2S_{1/2}) 
IonV    S  16  17   1 1.0000e+20   0   0     Bare 

IonV   Cl  17   1   4   12.96800 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Cl  17   2   5   23.81400 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV   Cl  17   3   4   39.61000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Cl  17   4   1   53.46600 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Cl  17   5   2   67.80000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Cl  17   6   1   97.03000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Cl  17   7   2  114.19700 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Cl  17   8   1  348.29000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Cl  17   9   4  400.06000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Cl  17  10   5  455.63000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Cl  17  11   4  529.28000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Cl  17  12   1  591.99000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Cl  17  13   2  656.71000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Cl  17  14   1  749.76000 1000   0     1s^22s^2(1S_0) 
IonV   Cl  17  15   2  809.41000 1000   0     1s^22s(2S_{1/2}) 
IonV   Cl  17  16   1 3658.51000 1000   0     1s^2(1S_0) 
IonV   Cl  17  17   2 3946.32000 1000   0     1s(2S_{1/2}) 
IonV   Cl  17  18   1 1.0000e+20   0   0     Bare 

IonV   Ar  18   1   1   15.76000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV   Ar  18   2   4   27.63000 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV   Ar  18   3   5   40.74000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV   Ar  18   4   4   59.81000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV   Ar  18   5   1   75.02000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV   Ar  18   6   2   91.01000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV   Ar  18   7   1  124.32400 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV   Ar  18   8   2  143.45800 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV   Ar  18   9   1  422.45000 1000   0     1s^22s^22p^6(1S_0) 
IonV   Ar  18  10   4  478.69000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV   Ar  18  11   5  538.96000 1000   0     1s^22s^22p^4(3P_2) 
IonV   Ar  18  12   4  618.26000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV   Ar  18  13   1  686.11000 1000   0     1s^22s^22p^2(3P_0) 
IonV   Ar  18  14   2  755.75000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV   Ar  18  15   1  854.78000 1000   0     1s^22s^2(1S_0) 
IonV   Ar  18  16   2  918.04000 1000   0     1s^22s(2S_{1/2}) 
IonV   Ar  18  17   1 4120.87000 1000   0     1s^2(1S_0) 
IonV   Ar  18  18   2 4426.24000 1000   0     1s(2S_{1/2}) 
IonV   Ar  18  19   1 1.0000e+20   0   0     Bare 

IonV    K  19   1   2    4.34069 1000   0     ..2s^22p^63s^23p^64s(2S_{1/2}) 
IonV    K  19   2   1   31.63000 1000   0     1s^22s^22p^63s^23p^6(1S_0) 
IonV    K  19   3   4   45.80600 1000   0     1s^22s^22p^63s^23p^5(2P^o_{3/2}) 
IonV    K  19   4   5   60.91000 1000   0     1s^22s^22p^63s^23p^4(3P_2) 
IonV    K  19   5   4   82.66000 1000   0     1s^22s^22p^63s^23p^3(4S^o_{3/2}) 
IonV    K  19   6   1   99.40000 1000   0     1s^22s^22p^63s^23p^2(3P_0) 
IonV    K  19   7   2  117.56000 1000   0     1s^22s^22p^63s^23p(2P^o_{1/2}) 
IonV    K  19   8   1  154.71000 1000   0     1s^22s^22p^63s^2(1S_0) 
IonV    K  19   9   2  175.81800 1000   0     1s^22s^22p^63s(2S_{1/2}) 
IonV    K  19  10   1  503.80000 1000   0     1s^22s^22p^6(1S_0) 
IonV    K  19  11   4  564.70000 1000   0     1s^22s^22p^5(2P^o_{3/2}) 
IonV    K  19  12   5  629.40000 1000   0     1s^22s^22p^4(3P_2) 
IonV    K  19  13   4  714.60000 1000   0     1s^22s^22p^3(4S^o_{3/2}) 
IonV    K  19  14   1  786.60000 1000   0     1s^22s^22p^2(3P_0) 
IonV    K  19  15   2  861.60000 1000   0     1s^22s^22p(2P^o_{1/2}) 
IonV    K  19  16   1  968.00000 1000   0     1s^22s^2(1S_0) 
IonV    K  19  17   2 1033.40000 1000   0     1s^22s(2S_{1/2}) 
IonV    K  19  18   1 4611.06000 1000   0     1s^2(1S_0) 
IonV    K  19  19   2 4934.07000 1000   0     1s(2S_{1/2}) 
IonV    K  19  20   1 1.0000e+20   0   0     Bare 

IonV   Ca  20   1   1    6.11321 1000   0     ..2s^22p^63s^23p^64s^2(1S_0) 
