i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
2 4 1.224818e+11 5.040552e-01 3.689112e+32 1.124850e+07 1.745180e+06 2.102044e+09 4.986636e-06 3.125571e-03 0.000000e+00 2.916134e-12 2.727309e-03 3.356630e-06 3.380807e-05 4.123132e-15 1.739076e+09
2 5 1.224818e+11 6.012813e-01 4.105056e+32 1.066107e+07 6.429058e+05 5.289809e+09 3.234112e-05 7.190446e-03 0.000000e+00 1.956446e-11 6.032958e-03 2.145999e-05 2.088953e-04 1.037589e-14 4.376395e+09
2 6 1.224818e+11 6.936460e-01 4.407662e+32 1.021888e+07 3.149362e+05 1.056780e+10 1.365896e-04 1.435683e-02 0.000000e+00 7.352256e-11 1.126707e-02 8.626429e-05 8.176752e-04 2.072861e-14 8.743018e+09
2 7 1.224818e+11 7.813926e-01 4.612639e+32 9.649764e+06 1.667045e+05 1.874170e+10 4.568087e-04 2.372141e-02 0.000000e+00 2.456747e-10 1.781180e-02 2.737540e-04 2.506036e-03 3.676161e-14 1.550550e+10
2 8 1.224818e+11 8.647518e-01 4.734727e+32 9.007691e+06 9.556354e+04 3.070114e+10 1.175733e-03 3.580859e-02 0.000000e+00 7.112318e-10 2.541473e-02 7.425214e-04 6.516271e-03 6.021994e-14 2.539987e+10
2 9 1.224818e+11 9.439430e-01 4.787422e+32 8.365204e+06 5.607741e+04 4.719663e+10 3.008283e-03 5.122452e-02 0.000000e+00 1.670415e-09 3.291385e-02 1.773804e-03 1.488696e-02 9.257573e-14 3.904706e+10
2 10 1.224818e+11 1.019175e+00 4.782871e+32 7.696923e+06 3.603918e+04 6.933726e+10 7.680791e-03 7.242213e-02 0.000000e+00 3.751602e-09 4.224420e-02 3.873164e-03 3.092879e-02 1.360045e-13 5.736467e+10
2 11 1.224818e+11 1.090645e+00 4.731942e+32 6.959316e+06 2.330629e+04 9.928183e+10 1.535865e-02 9.279934e-02 0.000000e+00 8.853563e-09 5.027043e-02 8.046973e-03 6.055108e-02 1.947410e-13 8.213885e+10
2 12 1.224818e+11 1.158541e+00 4.643909e+32 6.152162e+06 1.521091e+04 1.407591e+11 3.392459e-02 1.222109e-01 0.000000e+00 1.955592e-08 5.851399e-02 1.646646e-02 1.150848e-01 2.760993e-13 1.164546e+11
2 13 1.224818e+11 1.223043e+00 4.526963e+32 5.311056e+06 1.018724e+04 1.996263e+11 8.032608e-02 1.711578e-01 0.000000e+00 4.728264e-08 6.805670e-02 3.396068e-02 2.164165e-01 3.915690e-13 1.651580e+11
