i j rcen thetacen vol temp xi ne heat_xray heat_comp heat_lines heat_ff cool_comp cool_lines cool_ff rho n_h
2 7 1.224818e+11 7.813926e-01 4.612639e+32 9.649764e+06 1.631522e+05 1.874170e+10 4.425553e-04 2.380267e-02 0.000000e+00 2.522783e-10 1.741969e-02 2.737897e-04 2.506040e-03 3.676161e-14 1.550550e+10
2 8 1.224818e+11 8.647518e-01 4.734727e+32 9.007691e+06 9.203825e+04 3.070114e+10 1.132872e-03 3.549219e-02 0.000000e+00 6.694230e-10 2.455785e-02 7.425747e-04 6.516265e-03 6.021994e-14 2.539987e+10
2 9 1.224818e+11 9.439430e-01 4.787422e+32 8.365204e+06 5.575723e+04 4.719664e+10 2.862871e-03 5.105268e-02 0.000000e+00 1.845381e-09 3.264622e-02 1.774558e-03 1.488706e-02 9.257573e-14 3.904706e+10
2 10 1.224818e+11 1.019175e+00 4.782871e+32 7.696923e+06 3.568680e+04 6.933725e+10 7.611543e-03 7.108353e-02 0.000000e+00 4.020634e-09 4.161229e-02 3.873441e-03 3.092868e-02 1.360045e-13 5.736467e+10
2 11 1.224818e+11 1.090645e+00 4.731942e+32 6.959316e+06 2.420121e+04 9.928188e+10 1.557737e-02 9.632287e-02 0.000000e+00 8.542881e-09 5.183345e-02 8.050730e-03 6.055227e-02 1.947410e-13 8.213885e+10
2 12 1.224818e+11 1.158541e+00 4.643909e+32 6.152162e+06 1.520367e+04 1.407590e+11 3.222821e-02 1.205551e-01 0.000000e+00 2.004273e-08 5.818234e-02 1.646469e-02 1.150839e-01 2.760993e-13 1.164546e+11
2 13 1.224818e+11 1.223043e+00 4.526963e+32 5.311056e+06 1.017274e+04 1.996261e+11 7.049054e-02 1.610604e-01 1.838386e-13 4.679579e-08 6.756117e-02 3.395674e-02 2.164080e-01 3.915690e-13 1.651580e+11
2 14 1.224818e+11 1.284320e+00 4.388034e+32 4.497550e+06 6.706948e+03 2.834026e+11 1.601629e-01 2.132611e-01 0.000000e+00 1.197046e-07 7.541613e-02 7.119452e-02 4.040896e-01 5.559013e-13 2.344709e+11
2 15 1.224818e+11 1.342533e+00 4.233170e+32 3.768332e+06 4.231505e+03 3.998868e+11 3.255835e-01 2.711540e-01 0.000000e+00 2.515357e-07 7.981696e-02 1.520878e-01 7.422307e-01 7.843960e-13 3.308465e+11
2 16 1.224818e+11 1.397835e+00 4.066985e+32 3.182434e+06 2.854271e+03 5.489113e+11 6.798925e-01 3.445350e-01 0.000000e+00 6.036325e-07 8.602050e-02 3.161703e-01 1.293783e+00 1.076725e-12 4.541465e+11
2 17 1.224818e+11 1.450372e+00 3.893812e+32 2.766795e+06 1.930625e+03 7.120560e+11 1.096669e+00 4.011824e-01 0.000000e+00 1.094993e-06 8.491773e-02 6.162669e-01 2.040469e+00 1.396757e-12 5.891312e+11
2 18 1.224818e+11 1.500282e+00 3.716925e+32 2.498479e+06 1.637078e+03 8.559999e+11 1.885196e+00 4.677538e-01 0.000000e+00 1.768859e-06 9.359282e-02 9.761850e-01 2.815087e+00 1.679126e-12 7.082303e+11
2 19 1.224818e+11 1.547697e+00 3.538802e+32 2.414086e+06 1.334208e+03 9.259089e+11 2.258888e+00 4.607290e-01 0.000000e+00 2.058542e-06 8.622605e-02 1.240403e+00 3.241586e+00 1.816268e-12 7.660747e+11
3 0 1.631697e+11 6.121442e-02 1.034465e+32 1.397102e+07 7.314242e+12 3.288175e+02 0.000000e+00 3.163833e-10 0.000000e+00 3.191563e-26 3.441436e-10 0.000000e+00 9.138167e-19 6.449711e-22 2.720392e+02
3 1 1.631697e+11 1.805825e-01 2.885337e+32 1.208287e+07 3.018929e+09 7.656229e+05 6.355975e-13 7.125546e-07 0.000000e+00 2.142226e-19 6.687740e-07 4.392312e-13 4.634734e-12 1.501759e-18 6.334195e+05
3 2 1.631697e+11 2.939822e-01 4.422612e+32 1.505176e+07 4.563228e+07 4.913161e+07 2.234922e-09 4.597036e-05 0.000000e+00 6.232658e-16 5.249834e-05 1.726367e-09 2.111241e-08 9.637100e-17 4.064785e+07
3 3 1.631697e+11 4.017120e-01 5.669531e+32 1.129697e+07 2.838525e+06 7.508499e+08 6.609810e-07 6.667259e-04 0.000000e+00 2.117441e-13 5.727971e-04 4.279386e-07 4.322149e-06 1.472782e-15 6.211975e+08
3 4 1.631697e+11 5.040552e-01 6.653485e+32 9.407006e+06 7.724394e+05 2.735245e+09 9.654329e-06 2.311780e-03 0.000000e+00 3.683986e-12 1.705675e-03 5.855480e-06 5.276083e-05 5.365147e-15 2.262939e+09
3 5 1.631697e+11 6.012813e-01 7.403660e+32 8.876170e+06 3.125133e+05 6.286506e+09 5.058646e-05 5.128776e-03 0.000000e+00 1.981678e-11 3.465642e-03 3.121020e-05 2.713944e-04 1.233090e-14 5.200990e+09
